Ano base,UF,Classe Substancia Mineral,Substancia Mineral,Quantidade (litros) Garrafao,Quantidade (litros) Garrafa Plastica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafao,Valor (R$) Garrafa Plastica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composiçao Produtos Industrializados,Valor (R$) Composiçao Produtos Industrializados,Unidade de Medida
2013,AP,Água,Água,27422351,"2726977,88",0,"1890993,2",0,"2427787,66","529144,85",0,"241233,82",0,0,0,l
2013,BA,Água,Água,"452351967,8","83617080,92",0,"8664323,84",0,"40696486,43","70531656,96",0,"6183750,77",0,1172823793,"23613824,08",l
2013,CE,Água,Água,339300854,"62500506,53",0,"1544395,46",1767810,"48623075,24","65073514,79",0,"2104944,93","795907,55",0,0,l
2013,DF,Água,Água,"80050509,61","5008265,18",0,"1288871,26","335458,06","11856133,54","2677312,21",0,"1105641,21","236334,4","79265978,64","68436039,14",l
2013,ES,Água,Água,67208158,"13041012,76","171811,92","534729,6",0,"3281730,52","8354117,61","214586,42","279395,51",0,0,0,l
2013,GO,Água,Água,"123620310,2","53440001,2",7772138,"3706128,4",672902,"26842849,78","36390905,14","6988977,78","3171661,89","2112312,72","36092131,4",11328286,l
2013,MA,Água,Água,78206920,"16179530,32",0,1461653,"8549,16","13178418,9","15399830,57",0,"1868923,44","2564,75","130526238,2","68450,61",l
2013,MG,Água,Água,197921363,"174630231,1","400813,33","3731013,72",784363,"24690742,35","176701113,6","821230,57","4056044,1","344097,68","404247,56","28993,54",l
2013,MS,Água,Água,"34609351,4","11320806,79",0,"702015,06","535453,2","3962967,98","12706339,28",0,"681572,21","296110,69",12702821,"12702,82",l
2013,MT,Água,Água,"200132745,4","29042249,28",0,"2415774,4",0,"30491473,73","28634976,67",0,"2516475,75",0,0,0,l
2013,PA,Água,Água,"261009247,2","38208936,72",0,"4763543,36",0,"27584376,33","26046998,41",0,"4828538,39",0,774588000,"94981,53",l
2013,PB,Água,Água,201964900,"15604540,56",0,"3118489,2",0,"18040596,17","15277524,56",0,"910251,99",0,"79265978,64","28535699,14",l
2013,PE,Água,Água,"926304621,9","36058702,68","268327,2","3692323,4",0,"83848369,47","22619758,49","240888,27","2775478,26",0,987175940,"144620,78",l
2013,PI,Água,Água,28122620,8047609,0,1193202,0,"2857278,62","6930242,26",0,"1512970,78",0,1736784,"1860915,08",l
2013,PR,Água,Água,"141214420,7","32782211,05",951000,"4162508,3",278728,"27789131,57","38897801,34","1162664,7","4063176,15","460480,96",47101868,"6389020,2",l
2013,RJ,Água,Água,"376051357,5","79370464,44",161988,"5421862,4",17644080,"22354725,93","52357226,51","47246,5","3253153,17","179761,52","7290600,5","44150,11",l
2013,RN,Água,Água,319103993,"12913443,8",0,"1206200,2",0,"15859573,46","10930001,68",0,"1203740,84",0,0,0,l
2013,RO,Água,Água,143221579,"12649801,29",0,"1166175,09",0,"14449606,79","12595306,01",0,"1069223,65",0,0,0,l
2013,RR,Água,Água,4915690,"60418,2",0,0,"2941702,56","908913,96",62086,0,0,"514797,91",0,0,l
2013,RS,Água,Água,"146897723,8","187313470,3",316983,"3549563,73",44196,"36850811,42","183273395,3","495900,86","4202741,49",17670,206093309,"69068,11",l
2013,SC,Água,Água,"149804270,4","39235205,03",25799,"1513327,9",2321264,"27082097,64","28758932,22","29763,28","1711718,72","1202255,82",1546000,1878519,l
2013,SE,Água,Água,173055007,"18350625,34",0,"3758721,64",0,"51375225,28","19023535,46",0,"3926207,72",0,0,0,l
2013,SP,Água,Água,"704406824,1","640954021,6","6889389,72","28223394,6","5567029,37","96727043,69","534611809,2","13762757,93","24035981,37","3703572,62","194569325,9","20864622,92",l
2013,TO,Água,Água,34410100,"3341666,8",0,167856,0,"2911627,85","2729749,45",0,"143483,52",0,0,0,l
2014,AC,Água,Água,"60381346,8","3431039,2",0,0,0,"4454639,12","680257,79",0,0,0,0,0,l
2014,AL,Água,Água,239543996,"53034980,04",0,"4694722,88",0,"23203636,99","49563891,53",0,"5302754,26",0,0,0,l
2014,AM,Água,Água,156629424,"28987826,5",0,"675459,4",9963960,"14306598,62","25165814,55",0,"993989,06","1431781,23",27917108,"11482,93",l
2014,AP,Água,Água,22919022,329516,0,"30969,6",0,"2573019,98","1120770,33",0,"46123,48",0,0,0,l
2014,BA,Água,Água,"559906385,6","95985880,68",0,"8848742,43",0,"46881929,17","76991065,74",0,"5793798,29",0,1201091869,"183318,27",l
2014,CE,Água,Água,"342389189,9",29240427,0,"1491522,16",982312,"52226734,99","26406934,61",0,"2021144,24","442429,5",0,0,l
2014,DF,Água,Água,"61865607,6","2017412,95",0,"632720,11",332283,"10224420,05","2317430,31",0,"860741,59","186000,9",0,0,l
